S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,depreciation_rate,car_age
1195,BMW 3 Series 320d Luxury Line,Chennai,2012,65000,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,5470000.0,14.0,99.99974405850092,13
1197,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,24393,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2287000.0,20.4,99.99910800174902,8
1198,Volkswagen Polo 1.0 MPI Trendline,Hyderabad,2019,1000,Petrol,Manual,First,18.78,999 CC,75 bhp,5.0,674000.0,5.68,99.99915727002967,6
1200,Mitsubishi Pajero Sport 4X4,Mumbai,2013,59000,Diesel,Manual,First,13.5,2477 CC,175.56 bhp,7.0,3309000.0000000005,12.75,99.99961468721669,12
1226,Toyota Corolla Altis 1.8 VL CVT,Delhi,2017,21000,Petrol,Automatic,First,14.28,1798 CC,138.03 bhp,5.0,2325000.0,18.0,99.9992258064516,8
1230,Toyota Corolla Altis 1.4 DG,Ahmedabad,2012,52000,Diesel,Manual,First,21.43,1364 CC,86.79 bhp,5.0,1927000.0,6.5,99.99966268811625,13
1242,Jaguar XE 2.0L Diesel Prestige,Delhi,2018,1000,Diesel,Automatic,First,13.6,1999 CC,177 bhp,5.0,5277000.0,40.0,99.99924199355694,7
1243,Mahindra Xylo D4,Chennai,2016,85000,Diesel,Manual,First,14.95,2489 CC,93.7 bhp,7.0,1167000.0,6.15,99.9994730077121,9
1247,Maruti Swift VDI,Kochi,2017,34613,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,792000.0,6.24,99.99921212121212,8
1256,Hyundai Xcent 1.2 VTVT S,Bangalore,2014,54000,Petrol,Manual,First,20.14,1197 CC,81.86 bhp,5.0,785000.0,5.5,99.99929936305733,11
1270,Honda City i-VTEC CVT VX,Kochi,2018,22974,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1555000.0,11.97,99.99923022508038,7
1272,Toyota Fortuner 2.8 2WD MT,Ahmedabad,2015,65012,Diesel,Manual,First,14.24,2755 CC,174.5 bhp,7.0,3245000.0000000005,18.9,99.99941756548536,10
1274,Maruti Eeco 7 Seater Standard,Hyderabad,2015,90413,Petrol,Manual,First,15.1,1196 CC,73 bhp,7.0,483000.0,2.95,99.99938923395445,10
1301,Maruti Swift LDI,Mumbai,2015,14000,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,713000.0,5.25,99.9992636746143,10
1303,BMW 5 Series 520d Luxury Line,Coimbatore,2012,44450,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,7181999.999999999,24.68,99.99965636313006,13
1305,BMW X1 M Sport sDrive 20d,Mumbai,2016,31000,Diesel,Automatic,First,17.05,1995 CC,190 bhp,5.0,5097000.0,29.5,99.99942122817343,9
1313,Hyundai Verna CRDi 1.4 E,Chennai,2008,121097,Diesel,Manual,Second,24.0,1396 CC,88.76 bhp,5.0,1073000.0,1.9,99.99982292637466,17
1317,Fiat Linea Classic Plus 1.3 Multijet,Jaipur,2013,86000,Diesel,Manual,Second,19.5,1248 CC,75 bhp,5.0,950000.0,2.5,99.99973684210526,12
1320,BMW 3 Series 320d Luxury Line,Kochi,2013,37613,Diesel,Automatic,First,22.69,1995 CC,190 bhp,5.0,5246000.0,13.95,99.99973408311094,12
1324,Maruti Ignis 1.2 Delta,Coimbatore,2019,16862,Petrol,Manual,First,20.89,1197 CC,81.80 bhp,5.0,607000.0,6.06,99.99900164744645,6
1332,Maruti Wagon R CNG LXI,Pune,2013,79494,CNG,Manual,First,33.54,998 CC,67.04 bhp,5.0,554000.0,2.96,99.99946570397113,12
1362,Maruti Alto K10 VXI,Kolkata,2018,2100,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,433000.0,3.6,99.99916859122402,7
1363,Hyundai Grand i10 1.2 Kappa Sportz AT,Coimbatore,2018,20667,Petrol,Automatic,First,18.9,1197 CC,81.86 bhp,5.0,863000.0000000001,7.55,99.99912514484356,7
1368,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2019,18453,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,668000.0,6.17,99.99907634730538,6
1369,Hyundai Verna CRDi 1.6 SX,Hyderabad,2008,96578,Diesel,Manual,First,22.0,1582 CC,126.2 bhp,5.0,1407000.0,2.5,99.9998223169865,17
1381,Renault Duster 110PS Diesel RxZ AMT,Bangalore,2016,45000,Diesel,Automatic,First,19.6,1461 CC,108.45 bhp,5.0,1505000.0,11.5,99.99923588039867,9
1393,Hyundai Grand i10 1.2 Kappa Magna AT,Bangalore,2018,3000,Petrol,Automatic,First,18.9,1197 CC,81.86 bhp,5.0,798000.0,6.2,99.99922305764412,7
1407,Toyota Innova Crysta 2.8 ZX AT,Kolkata,2016,66618,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2482000.0,15.49,99.99937590652699,9
1412,Tata Zest Revotron 1.2T XM,Mumbai,2016,43706,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,763000.0,4.0,99.9994757536042,9
1427,Toyota Innova Crysta 2.4 VX MT,Kochi,2018,8899,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2286000.0,19.92,99.9991286089239,7
1437,Ford EcoSport 1.5 Petrol Titanium,Pune,2018,17000,Petrol,Manual,First,17.0,1497 CC,121.36 bhp,5.0,1106000.0,9.2,99.99916817359856,7
1443,Maruti Alto K10 VXI,Hyderabad,2016,10000,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,453000.0,3.5,99.99922737306844,9
1455,Toyota Corolla Altis 1.8 G,Mumbai,2010,93000,Petrol,Manual,First,14.28,1798 CC,138.03 bhp,5.0,1939000.0,4.5,99.99976792160908,15
1472,Hyundai Elantra 2.0 SX Option AT,Delhi,2017,9500,Petrol,Automatic,First,14.62,1999 CC,149.92 bhp,5.0,2177000.0,16.35,99.99924896646762,8
1490,Hyundai Creta 1.6 SX Automatic Diesel,Chennai,2016,55000,Diesel,Automatic,First,17.6,1582 CC,126.2 bhp,5.0,1835000.0000000002,12.5,99.99931880108991,9
1494,Volkswagen Ameo 1.5 TDI Comfortline,Jaipur,2016,58095,Diesel,Manual,First,21.66,1498 CC,108.62 bhp,5.0,919000.0,5.8,99.99936887921653,9
1495,Tata Zest Revotron 1.2 XT,Kolkata,2015,7445,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,809000.0,5.0,99.99938195302843,10
1497,Toyota Corolla Altis 1.8 VL CVT,Kochi,2018,28321,Petrol,Automatic,First,14.28,1798 CC,138.03 bhp,5.0,2325000.0,17.49,99.99924774193548,7
1519,Maruti Dzire AMT ZDI Plus,Hyderabad,2017,28226,Diesel,Automatic,First,28.4,1248 CC,73.75 bhp,5.0,1152000.0,9.15,99.99920572916668,8
1525,Ford EcoSport 1.5 Diesel Titanium Plus,Chennai,2016,29200,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1323000.0,7.7,99.99941798941799,9
1529,Tata Zest Quadrajet 1.3 XT,Coimbatore,2018,38310,Diesel,Manual,First,20.65,1248 CC,88.7 bhp,5.0,1006000.0,6.69,99.99933499005965,7
1531,Skoda Rapid 1.5 TDI AT Style,Kolkata,2017,31300,Diesel,Automatic,First,21.72,1498 CC,108.4 bhp,5.0,1534000.0,10.5,99.99931551499348,8
1532,Toyota Innova Crysta 2.4 VX MT 8S,Coimbatore,2019,11241,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,8.0,2401000.0,22.55,99.99906080799667,6
1542,Mahindra Thar CRDe,Jaipur,2016,19000,Diesel,Manual,First,16.55,2498 CC,105 bhp,6.0,1139000.0,9.25,99.99918788410886,9
1544,Ford Aspire Titanium Diesel,Coimbatore,2017,30279,Diesel,Manual,First,26.1,1498 CC,99 bhp,5.0,978999.9999999999,7.29,99.99925536261492,8
1545,Mini Cooper 3 DOOR D,Mumbai,2016,20000,Diesel,Automatic,First,20.7,1496 CC,113.98 bhp,4.0,3500000.0,23.5,99.99932857142856,9
1547,Mahindra Verito 1.5 D4 BSIV,Pune,2015,90000,Diesel,Manual,Second,21.03,1461 CC,65 bhp,5.0,926000.0,3.1,99.99966522678186,10
1558,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2017,22389,Petrol,Manual,First,17.0,1198 CC,73.75 bhp,5.0,868000.0,7.23,99.99916705069126,8
1568,Land Rover Discovery Sport TD4 HSE 7S,Mumbai,2017,40000,Diesel,Automatic,First,12.81,1999 CC,148.31 bhp,7.0,6639000.0,41.5,99.99937490585931,8
1574,Volkswagen Tiguan 2.0 TDI Highline,Jaipur,2017,50510,Diesel,Automatic,First,17.06,1968 CC,141 bhp,5.0,3645000.0000000005,24.9,99.999316872428,8
1583,Audi Q7 45 TDI Quattro Premium Plus,Kochi,2019,6773,Diesel,Automatic,First,14.75,2967 CC,245 bhp,7.0,9138000.0,72.94,99.99920179470344,6
1589,Mahindra Bolero ZLX,Jaipur,2013,63000,Diesel,Manual,First,15.96,2523 CC,62.1 bhp,7.0,1115000.0,5.5,99.9995067264574,12
1631,BMW X1 M Sport sDrive 20d,Kochi,2017,32838,Diesel,Automatic,First,17.05,1995 CC,190 bhp,5.0,5097000.0,30.29,99.99940572886011,8
1652,Jaguar XE 2.0L Diesel Prestige,Hyderabad,2017,4000,Diesel,Automatic,First,13.6,1999 CC,177 bhp,5.0,5341000.0,38.0,99.99928852274856,8
1663,Maruti Wagon R LXI,Delhi,2012,45631,Petrol,Manual,Second,22.5,998 CC,67.04 bhp,5.0,459000.0,2.74,99.99940305010894,13
1677,Hyundai Grand i10 1.2 Kappa Magna,Delhi,2017,12248,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,654000.0,4.9,99.999250764526,8
1680,Maruti Alto K10 VXI,Coimbatore,2011,48624,Petrol,Manual,First,24.07,998 CC,67.1 bhp,5.0,470000.0,3.22,99.99931489361703,14
1689,BMW 5 Series 520d Luxury Line,Kochi,2018,32586,Diesel,Automatic,First,22.48,1995 CC,190 bhp,5.0,6787000.0,37.3,99.99945041992045,7
1690,Mercedes-Benz GLE 350d,Coimbatore,2018,40129,Diesel,Automatic,First,11.57,2987 CC,254.79 bhp,5.0,9513000.0,70.8,99.99925575528223,7
1692,Hyundai Grand i10 1.2 Kappa Sportz,Kochi,2018,10393,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,662000.0,6.03,99.99908912386707,7
1704,Honda Amaze V CVT Petrol,Pune,2018,1700,Petrol,Automatic,First,19.0,1199 CC,88.76 bhp,5.0,944000.0,7.8,99.99917372881355,7
1708,Audi Q3 35 TDI Quattro Premium Plus,Coimbatore,2016,58661,Diesel,Automatic,First,15.17,1968 CC,181 bhp,5.0,4864000.0,28.03,99.99942372532894,9
1717,Mahindra Xylo D4,Hyderabad,2015,169000,Diesel,Manual,First,14.95,2489 CC,93.7 bhp,7.0,1169000.0,5.0,99.99957228400342,10
1725,Maruti Ciaz Zeta,Mumbai,2017,5500,Petrol,Manual,First,21.56,1462 CC,103.25 bhp,5.0,1111000.0,8.2,99.99926192619263,8
1743,Maruti Wagon R LXI,Ahmedabad,2010,21002,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,474000.0,2.75,99.99941983122362,15
1747,Maruti Eeco 7 Seater Standard,Coimbatore,2017,28371,Petrol,Manual,First,15.1,1196 CC,73 bhp,7.0,498000.00000000006,4.74,99.99904819277108,8
1754,Renault KWID Climber 1.0 MT,Delhi,2017,15000,Petrol,Manual,First,21.7,999 CC,67 bhp,5.0,498000.00000000006,4.25,99.99914658634538,8
1773,Honda WRV i-VTEC VX,Kochi,2018,15135,Petrol,Manual,First,17.5,1199 CC,88.7 bhp,5.0,1057000.0,9.29,99.9991210974456,7
1783,Maruti Wagon R VXI AMT,Coimbatore,2017,37832,Petrol,Automatic,First,22.5,998 CC,67 bhp,5.0,633000.0,5.23,99.99917377567141,8
1784,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,43041,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,810000.0,6.01,99.99925802469136,9
1793,Hyundai Grand i10 1.2 Kappa Magna,Kolkata,2017,31184,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,640000.0,5.0,99.99921875,8
1794,Maruti Dzire AMT ZDI Plus,Pune,2017,41747,Diesel,Automatic,First,28.4,1248 CC,73.75 bhp,5.0,1126000.0,9.0,99.99920071047957,8
1797,Toyota Etios Liva 1.2 VX Dual Tone,Coimbatore,2019,20877,Petrol,Manual,First,18.16,1197 CC,78.9 bhp,5.0,759000.0,7.27,99.9990421607378,6
1798,Maruti Swift VXI,Mumbai,2016,23555,Petrol,Manual,First,22.0,1197 CC,81.80 bhp,5.0,700000.0,5.1,99.99927142857143,9
1803,Volkswagen Polo GT TSI,Mumbai,2016,28000,Petrol,Automatic,First,17.21,1197 CC,103.5 bhp,5.0,1126000.0,7.25,99.99935612788632,9
1805,Tata Bolt Quadrajet XE,Hyderabad,2017,40000,Diesel,Manual,First,22.95,1248 CC,74 bhp,5.0,743000.0,5.25,99.9992934051144,8
1823,Hyundai Elantra 1.6 SX Option AT,Ahmedabad,2014,49000,Diesel,Automatic,First,18.23,1582 CC,126.2 bhp,5.0,2243000.0,8.9,99.99960320998663,11
1824,Jeep Compass 2.0 Limited Option Black,Mumbai,2017,7000,Diesel,Manual,First,17.1,1956 CC,170 bhp,5.0,2402000.0,17.45,99.99927352206494,8
1826,Toyota Corolla Altis 1.8 GL,Kochi,2012,83184,Petrol,Manual,First,14.28,1798 CC,138.03 bhp,5.0,2169000.0,6.22,99.9997132319041,13
1830,Mercedes-Benz GLE 350d,Coimbatore,2017,33552,Diesel,Automatic,First,11.57,2987 CC,254.79 bhp,5.0,9513000.0,64.87,99.99931809103333,8
1841,Mercedes-Benz A Class A180 Sport,Mumbai,2016,17000,Petrol,Automatic,First,15.5,1595 CC,122 bhp,5.0,3463000.0000000005,17.25,99.99950187698528,9
1842,Hyundai Grand i10 1.2 Kappa Magna,Kochi,2018,46493,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,632000.0,5.53,99.999125,7
1855,BMW 3 Series 320d,Ahmedabad,2011,100000,Diesel,Automatic,Second,22.69,1995 CC,190 bhp,5.0,4331000.0,10.9,99.9997483260217,14
1872,Maruti Eeco 7 Seater Standard,Mumbai,2014,34669,Petrol,Manual,First,15.1,1196 CC,73 bhp,7.0,471000.0,2.9,99.99938428874734,11
1877,Toyota Innova Crysta 2.8 GX AT,Kochi,2019,10601,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2073999.9999999998,19.65,99.99905255544842,6
1886,Hyundai Grand i10 1.2 Kappa Sportz,Delhi,2018,9434,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,671000.0,5.75,99.99914307004471,7
1896,Volkswagen Ameo 1.2 MPI Highline,Coimbatore,2018,35569,Petrol,Manual,First,17.0,1198 CC,73.75 bhp,5.0,868000.0,7.27,99.99916244239631,7
1902,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2017,15000,Diesel,Automatic,First,12.9,2755 CC,174.5 bhp,7.0,3445000.0000000005,30.0,99.99912917271408,8
1920,Maruti Dzire VDI,Delhi,2016,45376,Diesel,Manual,First,28.4,1248 CC,73.75 bhp,5.0,858000.0,5.75,99.99932983682984,9
1923,Ford EcoSport 1.5 Diesel Titanium Plus,Kochi,2017,78526,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1267000.0,8.09,99.99936148382004,8
1926,BMW X1 sDrive 20d xLine,Coimbatore,2015,42265,Diesel,Automatic,Second,20.68,1995 CC,190 bhp,5.0,4818000.0,22.24,99.99953839767538,10
1932,Ford EcoSport 1.5 Diesel Titanium,Mumbai,2017,26000,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1189000.0,8.99,99.99924390243903,8
1934,Maruti Dzire ZDI Plus,Jaipur,2017,24000,Diesel,Manual,First,28.4,1248 CC,73.75 bhp,5.0,1048000.0,8.2,99.99921755725192,8
1955,Hyundai Verna VTVT 1.6 SX Option,Delhi,2013,57478,Petrol,Manual,Second,17.0,1591 CC,121.3 bhp,5.0,1359000.0,5.25,99.99961368653422,12
1961,Maruti Vitara Brezza ZDi,Hyderabad,2016,41372,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1102000.0,9.3,99.9991560798548,9
1963,Mercedes-Benz GLA Class 200 d Sport,Pune,2017,35000,Diesel,Automatic,First,17.9,2143 CC,136 bhp,5.0,4194000.0,23.5,99.99943967572723,8
1990,Maruti Dzire VDI,Mumbai,2012,74000,Diesel,Manual,Second,28.4,1248 CC,73.75 bhp,5.0,894000.0,4.25,99.99952460850112,13
1991,Jeep Compass 2.0 Longitude,Kochi,2018,28937,Diesel,Manual,First,17.1,1956 CC,170 bhp,5.0,2138000.0,17.02,99.99920392890552,7
1994,Toyota Corolla Altis 1.4 DG,Coimbatore,2013,63854,Diesel,Manual,First,21.43,1364 CC,86.79 bhp,5.0,1927000.0,7.12,99.99963051375194,12
1995,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,Chennai,2018,3000,Diesel,Automatic,First,24.3,1248 CC,88.5 bhp,5.0,1288000.0,11.25,99.99912655279502,7
1998,Hyundai Xcent 1.2 VTVT SX,Mumbai,2014,64241,Petrol,Manual,First,20.14,1197 CC,81.86 bhp,5.0,827000.0,3.67,99.99955622732769,11
2003,BMW X1 sDrive 20d xLine,Bangalore,2016,28143,Diesel,Automatic,First,20.68,1995 CC,190 bhp,5.0,4818000.0,28.5,99.99940846824408,9
2008,Toyota Innova Crysta 2.4 VX MT,Hyderabad,2017,67000,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2287000.0,16.5,99.9992785308264,8
2013,Hyundai Grand i10 1.2 Kappa Magna AT,Kochi,2018,5354,Petrol,Automatic,First,18.9,1197 CC,81.86 bhp,5.0,737000.0,6.76,99.99908276797828,7
2014,Volkswagen Polo 1.0 MPI Comfortline,Chennai,2016,42000,Petrol,Manual,Second,18.78,999 CC,75 bhp,5.0,733000.0,5.5,99.99924965893588,9
2025,Maruti Eeco 7 Seater Standard,Coimbatore,2013,54885,Petrol,Manual,First,15.1,1196 CC,73 bhp,7.0,498000.00000000006,3.75,99.9992469879518,12
2030,Toyota Innova Crysta 2.4 VX MT,Mumbai,2016,25121,Diesel,Manual,First,13.68,2393 CC,147.8 bhp,7.0,2306000.0,17.11,99.99925802254988,9
2041,Mahindra Bolero SLE,Hyderabad,2012,75000,Diesel,Manual,First,15.96,2523 CC,62.1 bhp,7.0,1032000.0,4.3,99.99958333333333,13
2054,Maruti Ignis 1.2 Alpha,Mumbai,2017,1000,Petrol,Manual,First,20.89,1197 CC,81.80 bhp,5.0,787000.0,6.36,99.99919186785262,8
2059,Maruti Wagon R CNG LXI,Mumbai,2013,54000,CNG,Manual,First,33.54,998 CC,67.04 bhp,5.0,558000.0,3.05,99.99945340501792,12
2061,Jeep Compass 2.0 Longitude,Coimbatore,2018,33218,Diesel,Manual,First,17.1,1956 CC,170 bhp,5.0,2246000.0,19.05,99.99915182546751,7
2073,Mini Cooper 5 DOOR D,Hyderabad,2017,2000,Diesel,Automatic,First,20.7,1496 CC,113.98 bhp,5.0,4248000.0,34.0,99.99919962335217,8
2075,Tata Zest Revotron 1.2T XMS,Chennai,2015,40000,Petrol,Manual,First,17.57,1193 CC,88.7 bhp,5.0,769000.0,4.0,99.99947984395318,10
2079,Ford Aspire Titanium Plus Diesel,Kolkata,2015,2800,Diesel,Manual,First,26.1,1498 CC,99 bhp,5.0,940000.0,8.41,99.99910531914892,10
2086,Hyundai Grand i10 1.2 Kappa Asta,Coimbatore,2016,37429,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,810000.0,5.89,99.99927283950618,9
2088,Honda City i-VTEC V,Delhi,2011,67031,Petrol,Manual,First,17.4,1497 CC,117.3 bhp,5.0,1185000.0,4.0,99.99966244725739,14
2090,Maruti Celerio VXI AMT,Mumbai,2016,47691,Petrol,Automatic,First,23.1,998 CC,67.04 bhp,5.0,608000.0,3.94,99.99935197368423,9
2094,Maruti Dzire VDI,Kolkata,2015,28193,Diesel,Manual,First,28.4,1248 CC,73.75 bhp,5.0,836000.0,5.25,99.99937200956937,10
2097,Mercedes-Benz E-Class E 220 d,Hyderabad,2013,85000,Diesel,Automatic,First,16.1,1950 CC,194 bhp,5.0,7115000.000000001,21.0,99.99970484891075,12
2098,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,18.9,1197 CC,81.86 bhp,5.0,682000.0,4.3,99.99936950146628,10
2111,Mercedes-Benz GLE 250d,Kochi,2017,25601,Diesel,Automatic,First,17.9,2143 CC,201.15 bhp,5.0,7876000.000000001,56.73,99.99927971051295,8
2119,Ford Freestyle Titanium Petrol,Mumbai,2007,1261,Petrol,Manual,First,19.0,1194 CC,94.68 bhp,5.0,811999.9999999999,6.0,99.99926108374385,18
2120,Hyundai Elite i20 Asta Option,Coimbatore,2017,59450,Petrol,Manual,First,18.6,1197 CC,81.86 bhp,5.0,977999.9999999999,7.53,99.99923006134969,8
2127,Maruti Baleno Delta,Mumbai,2016,12573,Petrol,Manual,First,21.4,1197 CC,83.1 bhp,5.0,736000.0,5.8,99.99921195652173,9
2134,Toyota Fortuner 2.8 2WD AT,Pune,2017,29000,Diesel,Automatic,First,12.9,2755 CC,174.5 bhp,7.0,3811000.0,31.0,99.99918656520597,8
2138,Maruti Ertiga ZDI,Delhi,2013,68000,Diesel,Manual,First,25.47,1248 CC,88.50 bhp,7.0,1175000.0,4.85,99.99958723404254,12
2151,Maruti Swift VDI,Hyderabad,2013,84000,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,844000.0,5.65,99.99933056872038,12
2157,Hyundai Creta 1.6 SX Option,Delhi,2016,24347,Petrol,Manual,First,15.8,1591 CC,121.3 bhp,5.0,1605999.9999999998,11.0,99.99931506849316,9
2160,Honda City i-VTEC CVT VX,Mumbai,2017,17000,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1529000.0,11.6,99.99924133420535,8
2166,Honda Brio 1.2 VX MT,Kochi,2014,41460,Petrol,Manual,First,18.5,1198 CC,86.8 bhp,5.0,663000.0,3.95,99.99940422322776,11
2182,Toyota Fortuner 2.8 4WD MT,Bangalore,2015,150386,Diesel,Manual,First,14.24,2755 CC,174.5 bhp,7.0,3960000.0,23.0,99.99941919191919,10
2185,Maruti Vitara Brezza ZDi Plus,Ahmedabad,2017,80000,Diesel,Manual,First,24.3,1248 CC,88.5 bhp,5.0,1091000.0,8.0,99.99926672777268,8
2187,Hyundai Tucson 2.0 Dual VTVT 2WD AT GL,Mumbai,2016,13000,Petrol,Automatic,First,12.95,1999 CC,152.88 bhp,5.0,2575000.0,17.75,99.99931067961165,9
2195,Maruti Wagon R VXI,Kolkata,2016,16956,Petrol,Manual,First,22.5,998 CC,67.04 bhp,5.0,529000.0,3.6,99.99931947069943,9
2200,Maruti Wagon R VXI,Mumbai,2010,38000,Petrol,Manual,Second,22.5,998 CC,67.04 bhp,5.0,561000.0,1.75,99.999688057041,15
2220,Honda Brio 1.2 VX AT,Mumbai,2017,20000,Petrol,Automatic,First,16.5,1198 CC,86.8 bhp,5.0,805000.0000000001,5.99,99.99925590062112,8
2224,Toyota Etios Cross 1.4L GD,Kochi,2016,36681,Diesel,Manual,First,23.59,1364 CC,67.06 bhp,5.0,882000.0,6.71,99.99923922902495,9
2229,Honda City i-VTEC CVT ZX,Coimbatore,2018,20300,Petrol,Automatic,First,18.0,1497 CC,117.3 bhp,5.0,1738000.0,14.21,99.99918239355581,7
2231,Maruti Celerio ZXI MT,Kochi,2017,21799,Petrol,Manual,First,23.1,998 CC,67.04 bhp,5.0,569000.0,5.11,99.99910193321617,8
2233,Toyota Innova Crysta 2.8 ZX AT,Hyderabad,2017,35358,Diesel,Automatic,First,11.36,2755 CC,171.5 bhp,7.0,2656000.0,22.99,99.99913441265059,8
2239,Tata Tiago 1.2 Revotron XT,Jaipur,2016,42700,Petrol,Manual,First,23.84,1199 CC,84 bhp,5.0,561000.0,3.6,99.99935828877005,9
2242,Toyota Fortuner 2.8 4WD MT,Hyderabad,2010,110000,Diesel,Manual,First,14.24,2755 CC,174.5 bhp,7.0,3751000.0,13.7,99.99963476406292,15
2245,Maruti Wagon R VXI 1.2,Mumbai,2015,55000,Petrol,Manual,First,21.5,1197 CC,81.80 bhp,5.0,588000.0,3.1,99.99947278911566,10
2251,Honda City i-DTEC ZX,Hyderabad,2017,46000,Diesel,Manual,First,25.6,1498 CC,98.6 bhp,5.0,1695000.0,12.9,99.9992389380531,8
2260,BMW 5 Series 520d Luxury Line,Ahmedabad,2012,95000,Diesel,Automatic,Second,22.48,1995 CC,190 bhp,5.0,6371000.0,17.5,99.99972531784648,13
2275,Ford EcoSport 1.5 Diesel Titanium,Delhi,2017,39000,Diesel,Manual,First,23.0,1498 CC,98.96 bhp,5.0,1147000.0,8.45,99.99926329555362,8
2277,Toyota Fortuner 2.8 4WD MT,Mumbai,2010,140000,Diesel,Manual,First,14.24,2755 CC,174.5 bhp,7.0,3746000.0,10.75,99.99971302722905,15
2290,Maruti Swift VDI,Kochi,2016,62192,Diesel,Manual,First,28.4,1248 CC,74 bhp,5.0,788000.0,5.22,99.99933756345179,9
2292,Maruti Ciaz Alpha,Kochi,2018,38394,Petrol,Manual,First,21.56,1462 CC,103.25 bhp,5.0,1137000.0,9.18,99.99919261213721,7
2309,Hyundai Elantra 2.0 SX Option AT,Delhi,2016,28000,Petrol,Automatic,First,14.62,1999 CC,149.92 bhp,5.0,2177000.0,13.9,99.99936150666055,9
2313,Volkswagen Vento 1.5 TDI Trendline,Mumbai,2011,47000,Diesel,Manual,First,20.64,1498 CC,108.5 bhp,5.0,1130000.0,3.25,99.99971238938053,14
2319,Mercedes-Benz E-Class E 350 d,Coimbatore,2019,9312,Diesel,Automatic,First,18.0,2987 CC,258 bhp,5.0,9250000.0,78.8,99.9991481081081,6
2326,Hyundai Elantra 2.0 SX Option AT,Coimbatore,2015,58239,Petrol,Automatic,First,14.62,1999 CC,149.92 bhp,5.0,2364000.0,9.69,99.99959010152286,10
2333,Nissan Terrano XL D Option,Mumbai,2014,51000,Diesel,Manual,First,19.87,1461 CC,83.14 bhp,5.0,1506000.0,5.65,99.99962483399734,11
2334,Toyota Fortuner 2.8 2WD AT,Ahmedabad,2016,88008,Diesel,Automatic,Second,12.9,2755 CC,174.5 bhp,7.0,3445000.0000000005,22.5,99.99934687953555,9
2341,Mercedes-Benz GLA Class 200 d Sport,Mumbai,2018,10000,Diesel,Automatic,First,17.9,2143 CC,136 bhp,5.0,4194000.0,28.9,99.99931092036243,7
2364,Mini Cooper Convertible S,Chennai,2012,17000,Petrol,Automatic,Second,16.82,1998 CC,189.08 bhp,4.0,4428000.0,22.0,99.99950316169829,13
2370,Mini Cooper 3 DOOR S,Mumbai,2013,21000,Petrol,Automatic,First,17.44,1998 CC,189.08 bhp,4.0,3957000.0,21.5,99.99945665908515,12
2371,Maruti Wagon R CNG LXI,Pune,2014,29202,CNG,Manual,First,33.54,998 CC,67.04 bhp,5.0,554000.0,3.9,99.99929602888086,11
2380,Skoda Rapid 1.6 MPI AT Ambition,Mumbai,2017,32000,Petrol,Automatic,First,14.84,1598 CC,103.52 bhp,5.0,1370000.0,8.11,99.99940802919707,8
2387,Maruti Ertiga VDI,Delhi,2017,65000,Diesel,Manual,First,25.47,1248 CC,88.50 bhp,7.0,1116000.0,7.65,99.99931451612905,8
