S.No.,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Price,car_age,depreciation_rate,Mileage_Score
753,Chevrolet Cruze LTZ,Chennai,2011,73000,Diesel,Manual,Third,18.3 kmpl,1991 CC,147.9 bhp,5.0,1157000.0,4.2,14,99.99963699222127,18.3
754,Mahindra XUV500 W8 2WD,Ahmedabad,2015,72007,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,1157000.0,9.9,10,99.99914433880727,15.1
755,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Kochi,2014,56778,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5.0,1157000.0,15.46,11,99.99866378565255,11.74
756,Honda Jazz VX,Kochi,2018,20024,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,910000.0,8.46,7,99.99907032967033,18.2
757,Toyota Etios G,Kolkata,2013,42103,Petrol,Manual,First,16.78 kmpl,1496 CC,88.73 bhp,5.0,1157000.0,3.25,12,99.9997191011236,16.78
758,Maruti Alto LXi BSIII,Hyderabad,2012,67147,Petrol,Manual,First,19.7 kmpl,796 CC,46.3 bhp,5.0,1157000.0,2.6,13,99.99977528089887,19.7
759,Maruti Swift VXI BSIV,Coimbatore,2016,37806,Petrol,Manual,First,20.4 kmpl,1197 CC,81.80 bhp,5.0,1157000.0,5.2,9,99.99955056179776,20.4
760,Maruti A-Star Vxi,Pune,2009,85000,Petrol,Manual,Third,19.0 kmpl,998 CC,66.1 bhp,5.0,1157000.0,1.8,16,99.99984442523768,19.0
761,Tata Nano Lx BSIV,Chennai,2011,35000,Petrol,Manual,First,25.4 kmpl,624 CC,37.48 bhp,4.0,1157000.0,1.6,14,99.99986171132238,25.4
762,Ford Figo Titanium Diesel,Kolkata,2015,72035,Diesel,Manual,First,25.5 kmpl,1498 CC,99 bhp,5.0,765000.0,2.5,10,99.99967320261437,25.5
763,Fiat Linea Emotion,Jaipur,2011,48500,Petrol,Manual,First,16.0 kmpl,1368 CC,90 bhp,5.0,1157000.0,2.5,14,99.99978392394124,16.0
764,Ford Figo Aspire 1.2 Ti-VCT Trend,Coimbatore,2017,28854,Petrol,Manual,First,18.16 kmpl,1196 CC,86.8 bhp,5.0,1157000.0,6.7,8,99.99942091616249,18.16
765,Maruti Baleno LXI,Hyderabad,2005,92450,Petrol,Manual,First,15.4 kmpl,1590 CC,94 bhp,5.0,1157000.0,1.2,20,99.9998962834918,15.4
766,BMW 3 Series 320d Luxury Line,Coimbatore,2016,14351,Diesel,Automatic,First,18.88 kmpl,1995 CC,184 bhp,5.0,1157000.0,35.55,9,99.99692739844424,18.88
767,Chevrolet Cruze LTZ,Jaipur,2017,51087,Diesel,Manual,First,17.9 kmpl,1998 CC,163.7 bhp,5.0,1157000.0,7.75,8,99.99933016421781,17.9
768,Mahindra Scorpio 2.6 DX,Chennai,2005,50000,Diesel,Manual,First,12.7 kmpl,2609 CC,116.6 bhp,8.0,1157000.0,1.94,20,99.9998323249784,12.7
769,Tata Indica V2 eLS,Hyderabad,2016,73000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5.0,1157000.0,2.2,9,99.99980985306829,25.0
770,Chevrolet Cruze LTZ AT,Ahmedabad,2011,60000,Diesel,Automatic,First,18.1 kmpl,1991 CC,147.9 bhp,4.0,1157000.0,3.8,14,99.99967156439065,18.1
771,Toyota Innova 2.5 V Diesel 8-seater,Chennai,2016,50000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,1157000.0,15.65,9,99.9986473638721,12.8
772,Mercedes-Benz New C-Class C 220d Avantgarde Edition C,Coimbatore,2018,36797,Diesel,Automatic,First,19.27 kmpl,2143 CC,167.62 bhp,5.0,1157000.0,39.47,7,99.99658859118409,19.27
773,Maruti Ritz VXi,Kolkata,2011,50000,Petrol,Manual,Second,18.5 kmpl,1197 CC,85.80 bhp,5.0,1157000.0,1.5,14,99.99987035436475,18.5
774,Toyota Innova 2.5 GX (Diesel) 8 Seater BS IV,Ahmedabad,2013,94000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,8.0,1157000.0,8.85,12,99.99923509075194,12.8
775,Toyota Fortuner 4x4 MT,Bangalore,2013,74000,Diesel,Manual,Second,12.55 kmpl,2982 CC,168.5 bhp,7.0,1157000.0,17.9,12,99.9984528954192,12.55
776,Hyundai i10 Sportz AT,Coimbatore,2014,41016,Petrol,Automatic,Second,16.95 kmpl,1197 CC,78.9 bhp,5.0,1157000.0,5.08,11,99.99956093344858,16.95
777,Hyundai Verna 1.6 SX,Bangalore,2012,67000,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,1157000.0,6.25,13,99.99945980985306,22.32
778,Audi Q3 2012-2015 35 TDI Quattro Premium Plus,Bangalore,2015,76927,Diesel,Automatic,First,15.73 kmpl,1968 CC,174.33 bhp,5.0,1157000.0,22.75,10,99.99803370786516,15.73
779,Chevrolet Beat LS,Kolkata,2010,17088,Petrol,Manual,First,18.6 kmpl,1199 CC,79.4 bhp,5.0,1157000.0,1.46,15,99.99987381158168,18.6
780,Ford Fiesta 1.4 Duratorq ZXI,Pune,2007,112808,Diesel,Manual,Second,17.8 kmpl,1399 CC,68 bhp,5.0,1157000.0,2.05,18,99.9998228176318,17.8
781,Ford Figo Diesel EXI,Coimbatore,2014,74980,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5.0,1157000.0,4.08,11,99.99964736387209,20.0
782,Maruti Celerio VXI AT,Hyderabad,2014,44600,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,1157000.0,4.55,11,99.99960674157303,23.1
783,Mercedes-Benz A Class A180 CDI,Mumbai,2013,37000,Diesel,Automatic,First,20.0 kmpl,2143 CC,107.3 bhp,5.0,1157000.0,14.0,12,99.99878997407087,20.0
784,Hyundai Creta 1.6 SX,Ahmedabad,2016,21000,Petrol,Manual,First,15.8 kmpl,1591 CC,121.3 bhp,5.0,1374000.0,10.9,9,99.99920669577875,15.8
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,1157000.0,2.45,15,99.99978824546241,18.9
786,Mercedes-Benz E-Class 2009-2013 E 220 CDI Avantgarde,Delhi,2013,70000,Diesel,Automatic,First,10.0 kmpl,2148 CC,170 bhp,5.0,1157000.0,15.8,12,99.99863439930856,10.0
787,Ford EcoSport 1.5 Ti VCT MT Titanium BE,Mumbai,2017,4018,Petrol,Manual,First,18.88 kmpl,1499 CC,110.4 bhp,5.0,1157000.0,8.25,8,99.99928694900605,18.88
788,Renault Koleos 2.0 Diesel,Delhi,2013,70000,Diesel,Automatic,Second,13.73 kmpl,1995 CC,148 bhp,5.0,1157000.0,8.5,12,99.99926534140016,13.73
789,Mahindra XUV500 W10 2WD,Coimbatore,2016,56532,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,1157000.0,15.54,9,99.99865687121866,16.0
790,Maruti Omni E 8 Str STD,Hyderabad,2013,26875,Petrol,Manual,First,16.8 kmpl,796 CC,34.2 bhp,8.0,1157000.0,2.35,12,99.99979688850475,16.8
791,Maruti Wagon R VXI,Coimbatore,2015,72599,Petrol,Manual,First,22.5 kmpl,998 CC,67.04 bhp,5.0,572000.0,4.32,10,99.99924475524476,22.5
792,Ford Endeavour XLT TDCi 4X2,Jaipur,2008,205000,Diesel,Manual,Second,13.1 kmpl,2499 CC,141 bhp,7.0,1157000.0,3.9,17,99.99966292134832,13.1
793,Hyundai Verna 1.6 SX,Hyderabad,2011,98000,Diesel,Manual,Second,22.32 kmpl,1582 CC,126.32 bhp,5.0,1157000.0,5.2,14,99.99955056179776,22.32
794,Hyundai i20 Magna 1.2,Mumbai,2018,19500,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,1157000.0,5.85,7,99.99949438202248,18.6
795,Maruti Ertiga ZXI,Bangalore,2013,68000,Petrol,Manual,Second,16.02 kmpl,1373 CC,93.7 bhp,7.0,1157000.0,6.25,12,99.99945980985306,16.02
796,Mahindra XUV500 W9 AT,Coimbatore,2019,19654,Diesel,Automatic,First,14.0 kmpl,2179 CC,155 bhp,7.0,2133000.0,17.63,6,99.99917346460386,14.0
797,Maruti SX4 S Cross DDiS 200 Zeta,Mumbai,2017,26000,Diesel,Manual,First,23.65 kmpl,1248 CC,88.5 bhp,5.0,1157000.0,9.75,8,99.9991573033708,23.65
798,Mercedes-Benz SLK-Class SLK 350,Bangalore,2015,10000,Petrol,Automatic,First,18.1 kmpl,3498 CC,306 bhp,2.0,1157000.0,55.0,10,99.995246326707,18.1
799,Volkswagen Polo Diesel Comfortline 1.2L,Hyderabad,2011,75020,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,1157000.0,4.1,14,99.9996456352636,22.07
800,Toyota Fortuner 4x4 MT,Hyderabad,2011,157000,Diesel,Manual,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,1157000.0,11.99,14,99.99896369922213,12.55
801,Mahindra XUV500 W10 2WD,Kochi,2017,43773,Diesel,Manual,First,16.0 kmpl,2179 CC,140 bhp,7.0,1157000.0,13.54,8,99.99882973206569,16.0
802,Mercedes-Benz GLE 250d,Mumbai,2016,21000,Diesel,Automatic,First,17.9 kmpl,2143 CC,201.15 bhp,5.0,7876000.000000001,56.0,9,99.99928897917725,17.9
803,Honda Jazz 1.2 VX i VTEC,Chennai,2016,23280,Petrol,Manual,First,18.7 kmpl,1199 CC,88.7 bhp,5.0,1157000.0,6.5,9,99.99943820224719,18.7
804,Maruti Swift Dzire VDI,Pune,2013,88000,Diesel,Manual,First,23.4 kmpl,1248 CC,74 bhp,5.0,1157000.0,4.75,12,99.99958945548833,23.4
805,Hyundai Verna 1.6 SX VTVT,Hyderabad,2014,67000,Petrol,Manual,First,17.01 kmpl,1591 CC,121.3 bhp,5.0,1157000.0,5.6,11,99.99951598962834,17.01
806,Ford Endeavour 3.2 Titanium AT 4X4,Coimbatore,2017,59636,Diesel,Automatic,First,10.91 kmpl,3198 CC,197 bhp,7.0,1157000.0,29.2,8,99.99747623163354,10.91
807,Hyundai i20 1.2 Asta Option,Kolkata,2018,11000,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,1157000.0,6.35,7,99.9994511668107,18.6
808,Honda City 1.5 V MT Sunroof,Mumbai,2013,60669,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,1157000.0,4.95,12,99.99957216940363,16.8
809,Honda Amaze VX Diesel,Hyderabad,2018,12000,Diesel,Manual,First,27.4 kmpl,1498 CC,98.6 bhp,5.0,1034000.0,8.5,7,99.99917794970986,27.4
810,Hyundai Verna 1.6 SX VTVT (O),Kolkata,2013,35000,Petrol,Manual,First,17.1 kmpl,1591 CC,121.3 bhp,5.0,1157000.0,4.5,12,99.9996110630942,17.1
811,Honda Mobilio S i DTEC,Chennai,2015,65000,Diesel,Manual,First,24.2 kmpl,1498 CC,98.6 bhp,7.0,1157000.0,5.5,10,99.9995246326707,24.2
812,Maruti Ertiga ZDI,Kochi,2013,39929,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,1157000.0,6.56,12,99.99943301642178,20.77
813,Maruti Alto K10 LXI,Pune,2014,49000,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5.0,429000.0,2.3,11,99.99946386946387,24.07
814,Toyota Qualis FS B2,Pune,2004,77757,Diesel,Manual,Second,13.1 kmpl,2446 CC,75 bhp,10.0,1157000.0,3.5,21,99.99969749351771,13.1
815,Hyundai i10 Sportz,Kochi,2016,21456,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,1157000.0,4.55,9,99.99960674157303,20.36
816,Skoda Laura 1.9 TDI AT Ambiente,Bangalore,2009,74000,Diesel,Automatic,Second,17.0 kmpl,1896 CC,105 bhp,5.0,1157000.0,7.75,16,99.99933016421781,17.0
817,Hyundai i20 Asta Option 1.2,Mumbai,2015,37000,Petrol,Manual,Second,18.6 kmpl,1197 CC,81.83 bhp,5.0,1157000.0,5.25,10,99.99954624027659,18.6
818,BMW 5 Series 2003-2012 530d Highline,Coimbatore,2013,108640,Diesel,Automatic,First,11.5 kmpl,2993 CC,235 bhp,5.0,1157000.0,23.29,12,99.99798703543648,11.5
819,BMW 3 Series 320d M Sport,Mumbai,2016,38000,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5.0,1157000.0,23.99,9,99.99792653414002,22.69
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,Manual,First,14.49 kmpl,1399 CC,92.7 bhp,5.0,1157000.0,1.79,15,99.99984528954191,14.49
821,Mercedes-Benz E-Class 2009-2013 E250 CDI Elegance,Mumbai,2011,47000,Diesel,Automatic,Second,14.21 kmpl,2143 CC,203 bhp,5.0,1157000.0,13.9,14,99.99879861711322,14.21
822,Audi A6 2011-2015 2.0 TDI Premium Plus,Kolkata,2013,31000,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5.0,1157000.0,18.95,12,99.99836214347451,17.68
823,Maruti Wagon R LXI BS IV,Kolkata,2014,40000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,1157000.0,2.49,11,99.99978478824546,20.51
824,Renault KWID RXT,Jaipur,2016,4152,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5.0,1157000.0,3.15,9,99.99972774416595,25.17
825,Volkswagen Ameo 1.5 TDI Highline,Mumbai,2017,51000,Diesel,Manual,First,21.66 kmpl,1498 CC,108.62 bhp,5.0,1003999.9999999999,6.45,8,99.99935756972113,21.66
826,Volkswagen Polo Diesel Comfortline 1.2L,Ahmedabad,2013,55000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5.0,1157000.0,4.25,12,99.9996326707001,22.07
827,Maruti Alto 800 LXI,Hyderabad,2014,58500,Petrol,Manual,First,22.74 kmpl,796 CC,47.3 bhp,5.0,1157000.0,2.75,11,99.99976231633535,22.74
828,Hyundai i20 Asta Option 1.2,Kochi,2017,58620,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,1157000.0,7.14,8,99.99938288677616,18.6
829,Toyota Etios Liva G,Mumbai,2012,29605,Petrol,Manual,First,18.3 kmpl,1197 CC,null bhp,5.0,1157000.0,2.44,13,99.99978910976665,18.3
830,Hyundai i20 1.2 Sportz,Jaipur,2012,71172,Petrol,Manual,Third,17.0 kmpl,1197 CC,80 bhp,5.0,1157000.0,3.5,13,99.99969749351771,17.0
831,Hyundai i20 1.4 Asta,Chennai,2017,12000,Diesel,Manual,First,22.54 kmpl,1396 CC,88.73 bhp,5.0,1157000.0,7.3,8,99.99936905790838,22.54
832,Maruti Wagon R LXI Optional,Kolkata,2014,25000,Petrol,Manual,First,20.51 kmpl,998 CC,67.04 bhp,5.0,1157000.0,2.75,11,99.99976231633535,20.51
833,Hyundai i20 1.4 Asta Option,Bangalore,2017,43000,Diesel,Manual,Second,22.54 kmpl,1396 CC,88.73 bhp,5.0,1157000.0,8.2,8,99.99929127052722,22.54
834,Volkswagen Polo GT TSI,Mumbai,2015,57022,Petrol,Automatic,First,17.21 kmpl,1197 CC,103.6 bhp,5.0,1157000.0,6.51,10,99.99943733794295,17.21
835,Ford Figo Diesel Titanium,Pune,2015,92000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,1157000.0,4.25,10,99.9996326707001,20.0
836,Maruti Swift ZXI,Coimbatore,2014,33372,Petrol,Manual,Second,18.6 kmpl,1197 CC,85.8 bhp,5.0,1157000.0,6.21,11,99.99946326707001,18.6
837,Hyundai Grand i10 CRDi Magna,Kochi,2016,52625,Diesel,Manual,First,24.0 kmpl,1120 CC,70 bhp,5.0,1157000.0,4.58,9,99.99960414866032,24.0
838,Mahindra Xylo H4,Chennai,2016,215000,Diesel,Manual,First,14.02 kmpl,2179 CC,118.3 bhp,7.0,1167000.0,7.5,9,99.99935732647815,14.02
839,Maruti Alto Green LXi (CNG),Delhi,2012,65537,CNG,Manual,First,26.83 km/kg,796 CC,38.4 bhp,5.0,1157000.0,2.1,13,99.99981849611062,26.83
840,Hyundai i10 Magna 1.1,Coimbatore,2014,60138,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,1157000.0,4.09,11,99.99964649956785,19.81
841,Skoda Octavia Elegance 2.0 TDI AT,Mumbai,2014,84000,Diesel,Automatic,First,19.3 kmpl,1968 CC,141 bhp,5.0,1157000.0,10.75,11,99.99907087294729,19.3
842,BMW X5 2014-2019 xDrive 30d Design Pure Experience 7 Seater,Mumbai,2014,47000,Diesel,Automatic,First,15.97 kmpl,2993 CC,258 bhp,7.0,1157000.0,41.5,11,99.99641313742438,15.97
843,Maruti Celerio VXI AT,Hyderabad,2014,33450,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,1157000.0,4.4,11,99.99961970613657,23.1
844,Volkswagen Vento Diesel Comfortline,Jaipur,2013,125000,Diesel,Manual,Second,20.54 kmpl,1598 CC,103.6 bhp,5.0,1157000.0,6.25,12,99.99945980985306,20.54
845,BMW 3 Series 320d Highline,Pune,2011,99606,Diesel,Automatic,Second,16.07 kmpl,1995 CC,181 bhp,5.0,1157000.0,10.5,14,99.99909248055316,16.07
846,Maruti Ertiga ZDI,Mumbai,2014,64000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.8 bhp,7.0,1157000.0,7.25,11,99.99937337942956,20.77
847,Ford Figo Diesel ZXI,Hyderabad,2013,51000,Diesel,Manual,First,20.0 kmpl,1399 CC,68.05 bhp,5.0,1157000.0,3.2,12,99.99972342264478,20.0
848,Volkswagen Polo 1.2 MPI Highline,Mumbai,2014,57000,Petrol,Manual,First,16.47 kmpl,1198 CC,74 bhp,5.0,1157000.0,3.95,11,99.99965859982714,16.47
849,Audi A6 3.0 TDI quattro,Coimbatore,2009,48040,Diesel,Automatic,Second,16.77 kmpl,2967 CC,241.38 bhp,5.0,1157000.0,12.07,16,99.99895678478823,16.77
850,Toyota Innova Crysta 2.4 ZX MT,Pune,2017,43200,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,7.0,2552000.0,18.6,8,99.99927115987461,13.68
851,Hyundai Verna 1.6 CRDi EX AT,Delhi,2013,66000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.3 bhp,5.0,1157000.0,5.7,12,99.999507346586,22.32
852,Hyundai Santro Xing GL Plus,Kolkata,2013,31000,Petrol,Manual,First,17.92 kmpl,1086 CC,62.1 bhp,5.0,1157000.0,1.75,12,99.99984874675886,17.92
853,Audi A4 2.0 TDI,Delhi,2011,46000,Diesel,Automatic,Second,16.55 kmpl,1968 CC,147.51 bhp,5.0,1157000.0,10.99,14,99.99905012964564,16.55
854,Audi A4 2.0 TDI,Kolkata,2012,47346,Diesel,Automatic,First,16.55 kmpl,1968 CC,147.51 bhp,5.0,1157000.0,14.5,13,99.99874675885911,16.55
855,Skoda Laura 1.9 TDI MT Ambiente,Jaipur,2009,100000,Diesel,Manual,First,17.0 kmpl,1896 CC,105 bhp,5.0,1157000.0,3.11,16,99.99973120138289,17.0
856,Honda CR-V 2.0L 2WD AT,Coimbatore,2015,63856,Petrol,Automatic,First,13.7 kmpl,1997 CC,153.86 bhp,5.0,1157000.0,13.96,10,99.99879343128781,13.7
857,Hyundai Verna 1.6 SX CRDi (O),Coimbatore,2015,72996,Diesel,Manual,First,22.32 kmpl,1582 CC,126.32 bhp,5.0,1157000.0,7.11,10,99.99938547968884,22.32
858,Honda Mobilio RS i DTEC,Chennai,2014,23000,Diesel,Manual,First,24.5 kmpl,1498 CC,98.6 bhp,7.0,1157000.0,6.9,11,99.9994036300778,24.5
859,Hyundai i20 1.2 Asta Option,Coimbatore,2018,15985,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,1157000.0,7.77,7,99.99932843560934,18.6
860,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,Kolkata,2011,98000,Diesel,Manual,Second,12.8 kmpl,2494 CC,102 bhp,8.0,1157000.0,5.5,14,99.9995246326707,12.8
861,Hyundai i20 Magna 1.2,Hyderabad,2014,70089,Petrol,Manual,First,18.6 kmpl,1197 CC,81.83 bhp,5.0,1157000.0,5.35,11,99.99953759723422,18.6
862,Mahindra Bolero VLX BS IV,Chennai,2011,99000,Diesel,Manual,Second,13.6 kmpl,2523 CC,63 bhp,7.0,1157000.0,4.5,14,99.9996110630942,13.6
863,Volkswagen Vento 1.5 TDI Comfortline,Jaipur,2014,72000,Diesel,Manual,First,20.34 kmpl,1498 CC,103.2 bhp,5.0,1157000.0,4.75,11,99.99958945548833,20.34
864,Jaguar XF 2.2 Litre Luxury,Coimbatore,2015,44194,Diesel,Automatic,First,16.36 kmpl,2179 CC,187.7 bhp,5.0,1157000.0,32.8,10,99.99716508210889,16.36
865,Maruti Zen LXi - BS III,Mumbai,2005,102000,Petrol,Manual,First,17.3 kmpl,993 CC,60 bhp,5.0,1157000.0,0.7,20,99.99993949870355,17.3
866,Mercedes-Benz E-Class Facelift,Coimbatore,2018,56652,Diesel,Automatic,First,13.0 kmpl,2987 CC,258 bhp,5.0,1157000.0,50.29,7,99.99565341400172,13.0
867,Toyota Fortuner 3.0 Diesel,Mumbai,2010,41650,Diesel,Manual,Second,11.5 kmpl,2982 CC,171 bhp,7.0,1157000.0,10.99,15,99.99905012964564,11.5
868,Hyundai Grand i10 AT Asta,Coimbatore,2015,61717,Petrol,Automatic,First,18.9 kmpl,1197 CC,82 bhp,5.0,1157000.0,5.57,10,99.99951858254104,18.9
869,Hyundai Xcent 1.2 CRDi S,Jaipur,2018,25302,Diesel,Manual,First,25.4 kmpl,1186 CC,73.97 bhp,5.0,856000.0,5.9,7,99.99931074766354,25.4
870,Hyundai Creta 1.6 VTVT S,Coimbatore,2016,47016,Petrol,Manual,First,15.29 kmpl,1591 CC,121.3 bhp,5.0,1157000.0,9.43,9,99.99918496110631,15.29
871,Hyundai i10 Sportz,Bangalore,2010,69000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5.0,1157000.0,2.9,15,99.99974935177183,20.36
872,Honda Brio S MT,Delhi,2016,32700,Petrol,Manual,First,19.4 kmpl,1198 CC,86.8 bhp,5.0,1157000.0,3.68,9,99.9996819360415,19.4
873,Toyota Fortuner 4x2 AT,Coimbatore,2015,101337,Diesel,Automatic,First,12.55 kmpl,2982 CC,168.5 bhp,7.0,1157000.0,21.67,10,99.99812705272257,12.55
874,Audi A4 2.0 TDI Multitronic,Ahmedabad,2011,59000,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5.0,1157000.0,12.5,14,99.99891961970614,16.55
875,Toyota Innova Crysta 2.8 ZX AT,Kochi,2018,41736,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7.0,2700000.0,19.92,7,99.99926222222223,11.36
876,Honda City i DTEC VX,Jaipur,2014,71649,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,1157000.0,6.75,11,99.9994165946413,25.1
877,Honda City i DTEC VX,Kochi,2015,80606,Diesel,Manual,First,25.1 kmpl,1498 CC,98.6 bhp,5.0,1157000.0,6.96,10,99.99939844425239,25.1
878,Renault KWID 1.0 RXT Optional,Jaipur,2017,63262,Petrol,Manual,First,21.7 kmpl,999 CC,67 bhp,5.0,478000.0,3.25,8,99.99932008368201,21.7
879,Maruti Swift DDiS ZDI Plus,Hyderabad,2018,5456,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,1157000.0,8.65,7,99.99925237683665,28.4
880,Maruti Celerio VXI Optional AMT,Pune,2017,7500,Petrol,Automatic,First,23.1 kmpl,998 CC,67.04 bhp,5.0,614000.0,5.0,8,99.99918566775244,23.1
881,Mahindra XUV500 W8 2WD,Delhi,2011,66000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7.0,1157000.0,5.5,14,99.9995246326707,15.1
882,Hyundai i10 Magna,Jaipur,2010,66770,Petrol,Manual,Second,20.36 kmpl,1197 CC,78.9 bhp,5.0,1157000.0,2.6,15,99.99977528089887,20.36
883,Hyundai i10 Magna 1.1,Kochi,2014,58472,Petrol,Manual,First,19.81 kmpl,1086 CC,68.05 bhp,5.0,1157000.0,3.41,11,99.99970527225585,19.81
884,Maruti Dzire VXI,Kolkata,2011,46687,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5.0,730000.0,2.7,14,99.99963013698631,22.0
885,Maruti Grand Vitara AT,Chennai,2008,77000,Petrol,Automatic,Fourth & Above,9.7 kmpl,1995 CC,163.5 bhp,5.0,1157000.0,5.5,17,99.9995246326707,9.7
886,Audi TT 40 TFSI,Kolkata,2012,7000,Petrol,Automatic,First,14.33 kmpl,1984 CC,226.6 bhp,4.0,1157000.0,35.0,13,99.99697493517718,14.33
887,Mercedes-Benz New C-Class C 200 CGI,Mumbai,2011,48000,Petrol,Automatic,Second,14.74 kmpl,1991 CC,184 bhp,5.0,1157000.0,9.75,14,99.9991573033708,14.74
888,Nissan Sunny 2011-2014 Diesel XV,Mumbai,2013,47000,Diesel,Manual,First,21.64 kmpl,1461 CC,84.8 bhp,5.0,1157000.0,4.25,12,99.9996326707001,21.64
889,Maruti Wagon R LXI,Ahmedabad,2015,51530,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5.0,1157000.0,3.2,10,99.99972342264478,18.9
890,Maruti Swift Dzire ZDI,Bangalore,2014,25789,Diesel,Manual,Second,23.4 kmpl,1248 CC,74 bhp,5.0,1157000.0,6.85,11,99.99940795159895,23.4
891,Honda Amaze S i-Dtech,Delhi,2015,48000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,1157000.0,4.5,10,99.9996110630942,25.8
892,Maruti Swift ZDI,Delhi,2012,52000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,1157000.0,3.55,13,99.99969317199654,28.4
893,Hyundai Accent Executive CNG,Hyderabad,2010,95637,CNG,Manual,Second,13.2 km/kg,1495 CC,93.7 bhp,5.0,1157000.0,1.9,15,99.99983578219535,13.2
894,Mahindra Scorpio LX 2.6 Turbo,Hyderabad,2008,131000,Diesel,Manual,First,10.5 kmpl,2609 CC,120 bhp,7.0,1157000.0,3.6,17,99.99968885047535,10.5
895,Mercedes-Benz E-Class E250 CDI Avantgrade,Kochi,2015,42076,Diesel,Automatic,First,13.0 kmpl,2143 CC,201.1 bhp,5.0,1157000.0,21.8,10,99.9981158167675,13.0
896,Toyota Fortuner 4x2 Manual,Mumbai,2012,76000,Diesel,Manual,Second,13.0 kmpl,2982 CC,168.5 bhp,7.0,1157000.0,13.5,13,99.99883318928264,13.0
897,Datsun redi-GO T Option,Bangalore,2016,20487,Petrol,Manual,First,22.7 kmpl,799 CC,53.64 bhp,5.0,437000.0,2.66,9,99.99939130434782,22.7
898,Honda City V MT,Delhi,2010,43000,Petrol,Manual,Second,16.8 kmpl,1497 CC,116.3 bhp,5.0,1157000.0,3.75,15,99.99967588591184,16.8
899,Toyota Camry Hybrid,Pune,2018,17000,Petrol,Automatic,First,19.16 kmpl,2494 CC,158.2 bhp,5.0,1157000.0,32.0,7,99.9972342264477,19.16
900,Honda City i DTec V,Coimbatore,2016,60805,Diesel,Manual,First,26.0 kmpl,1498 CC,98.6 bhp,5.0,1157000.0,8.07,9,99.99930250648228,26.0
